2021-10-20 18:23:36.889875,12,13,25
2021-10-20 18:24:02.076960,12,13,25
2021-10-20 18:25:14.798579,12,13,25
2021-10-20 18:27:15.009241,12,13,25
2021-10-20 18:31:33.321999,12,13,25
2021-10-20 18:31:59.451216,12,13,25
2021-10-20 18:32:35.497852,12,13,25
2021-10-20 18:33:24.104849,12,13,25
2021-10-20 18:33:37.971004,12,13,25
2021-10-20 18:33:47.974666,12,13,25
2021-10-20 18:34:25.946835,12,13,25
2021-10-20 18:35:19.131902,12,13,25
2021-10-20 18:36:02.965281,12,13,25
2021-10-20 18:36:15.423502,12,13,25
2021-10-20 18:36:26.430728,12,13,25
